	peaksig_y	peaksig_x	closet_genes	zrfus_genes
chr1-10719492-10721280	0.0811552036620857	0.0753961075336103	Cpa6	NO
chr1-11458143-11458703	0.0361853087789577	0.0405111091239768	A830018L16Rik	NO
chr1-14011413-14011979	0.192927035997598	0.0309776219163178	Eya1	NO
chr1-16617997-16620180	0.448307627851701	0.503993504568981	Ube2w	NO
chr1-16664688-16666076	0.337845524642523	0.297745737462997	Tmem70	NO
chr1-30948377-30950705	0.51092114415892	0.568107200130368	Ptp4a1	NO
chr1-34150048-34151066	0.517340530963729	0.0630519600809812	Dst	NO
chr1-34642222-34643167	0.159320069751004	0.0798636248814514	Arhgef4	NO
chr1-34814069-34814354	0.0590827458593485	0.0512010948754761	Fam168b	NO
chr1-35652830-35653824	0.124951122385462	0.118029419267042	RP24-550I15.1	NO
chr1-36254616-36255504	0.109418842086822	0.111785022034338	Neurl3	NO
chr1-37696783-37697224	0.04646897070607	0.0374923166398825	2010300C02Rik	NO
chr1-37864166-37865905	0.545181766599823	0.573094367779179	Tsga10	NO
chr1-38786278-38786956	0.243160471707948	0.0583169212154453	Lonrf2	NO
chr1-43694313-43695653	0.596689269985378	0.134217874253801	1500015O10Rik	NO
chr1-52112956-52114317	0.409417726244541	0.441594895125811	Gm28177	NO
chr1-52231860-52233890	0.542048451195126	0.526108775630035	Gls	NO
chr1-52843845-52845938	0.503861297351502	0.391095567341459	Hibch	NO
chr1-55086967-55088899	0.60063560108498	0.519927871756446	Hspe1	NO
chr1-58972748-58974282	0.438065969435372	0.466842477032258	Trak2	NO
chr1-61095727-61096206	0.0344351145187877	0.0643888727185437	Icos	NO
chr1-61638241-61639999	0.455137558028598	0.161650572664048	Pard3b	NO
chr1-64225777-64226980	0.0866125685429355	0.200241499928073	Gm28981	NO
chr1-64305177-64305875	0.125326440150135	0.0671650072618017	Gm28981	NO
chr1-64531721-64533717	0.501605334847353	0.579951583159575	Creb1	NO
chr1-64736961-64738230	0.562914143710337	0.218324097734942	Fzd5	NO
chr1-66815964-66818252	0.530791077753112	0.563570592370801	Kansl1l	NO
chr1-70853452-70853873	0.0192690826749891	0.0776608173287724	Vwc2l	NO
chr1-71101691-71103430	0.633883658851655	0.26325427198634	Bard1	NO
chr1-71880515-71881745	0.0331735562300306	0.146976616680012	Gm8883	NO
chr1-72738896-72740330	0.617567978189557	0.100919426407322	Rpl37a	NO
chr1-72746076-72747000	0.188001446883387	0.117146743449341	Rpl37a	NO
chr1-72814974-72815563	0.085516240633472	0.0495274747052993	Igfbp2	NO
chr1-73962617-73963942	0.256218790811855	0.146802638604811	Tns1	NO
chr1-74030827-74031423	0.240773522304552	0.0646568205175838	Tns1	NO
chr1-74032934-74033588	0.070499956488726	0.052592262849514	Tns1	NO
chr1-74283836-74285577	0.530782633616261	0.585795866828441	Aamp	NO
chr1-74391235-74392652	0.62395221059172	0.336828353689612	Ctdsp1	NO
chr1-74397084-74398477	0.625893390255709	0.187985799699034	Ctdsp1	NO
chr1-74505032-74506888	0.554373336673922	0.524410764687805	Rqcd1	NO
chr1-74587179-74588924	0.481448651430093	0.530201374129777	Zfp142	NO
chr1-75123721-75125740	0.43519231867662	0.416539732461102	Slc23a3	NO
chr1-75167806-75169896	0.505079052835953	0.455963039467088	Zfand2b	NO
chr1-75316321-75318409	0.583507314927985	0.6336008471042	Dnpep	NO
chr1-75398532-75399317	0.194469085020355	0.124400024743838	Speg	NO
chr1-77846300-77846816	0.0678616005306163	0.0439567130174435	Gm28387	NO
chr1-78657178-78658954	0.51073943360373	0.432215783364684	Utp14b	NO
chr1-85852727-85854363	0.203036162246408	0.180620730300138	Cab39	NO
chr1-85927727-85929189	0.430430007866411	0.285800054714138	4933407L21Rik	NO
chr1-86358482-86360206	0.565875997138974	0.590907556044875	Ncl	NO
chr1-86421077-86421448	0.0965584635767939	0.0521929425049837	1700019O17Rik	NO
chr1-86447648-86448581	0.204961375040574	0.101974526302907	1700019O17Rik	NO
